Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev
171	 0,0000	 0,0000	 14177904158624366000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20050584347152483000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1417790415862436500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
172	 0,0000	 0,0000	 77,6009	 95,5720	 2513,2457	 0,0000
173	 0,0000	 0,0000	 111,5489	 149,8563	 8222,6043	 0,0000
174	 0,0000	 0,0000	 73,4647	 91,1375	 2370,9150	 0,0000
175	 0,0000	 0,0000	 29526072216924497000000000000000000000000000000000000000000000000000000,0000	 41756171772782065000000000000000000000000000000000000000000000000000000,0000	 2952607221692449800000000000000000000000000000000000000000000000000000000,0000	 0,0000
176	 0,0000	 0,0000	 110859623873242630000000000000000000000000000000000000000000000000000000000000,0000	 156779183601119870000000000000000000000000000000000000000000000000000000000000,0000	 11085962387324262000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
177	 0,0000	 0,0000	 3003978217690124600000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4248266736530732000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 300397821769012460000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
178	 0,0000	 0,0000	 73,3454	 93,9324	 2320,8656	 0,0000
179	 0,0000	 0,0000	 96,8716	 80,0273	 3926,1195	 0,0000
180	 0,0000	 0,0000	 680460667521604600000,0000	 962316704670502700000,0000	 68046066752160465000000,0000	 0,0000
181	 0,0000	 0,0000	 124890,6564	 176610,5718	 12476436,9765	 0,0000
182	 0,0000	 0,0000	 34823426218173575000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 49247761646039890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3482342621817357500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
183	 0,0000	 0,0000	 60,8965	 55,3628	 2961,9268	 0,0000
184	 0,0000	 0,0000	 1610,7476	 2086,1493	 100495,5695	 0,0000
185	 0,0000	 0,0000	 24093,2630	 34065,4790	 2408199,8712	 0,0000
186	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
187	 0,0000	 0,0000	 29648551922297843000000000000000000000000000000000000000000000000000000,0000	 41929384233236510000000000000000000000000000000000000000000000000000000,0000	 2964855192229784300000000000000000000000000000000000000000000000000000000,0000	 0,0000
188	 0,0000	 0,0000	 280,2089	 390,3227	 17593,3866	 0,0000
189	 0,0000	 0,0000	 4221720365227953500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5970414197052069000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 422172036522795300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
190	 0,0000	 0,0000	 105,8911	 58,1766	 4524,8653	 0,0000
191	 0,0000	 0,0000	 24770743945807938000,0000	 35031122038232820000,0000	 2477074394580793700000,0000	 0,0000
192	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
193	 0,0000	 0,0000	 14745380791871750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20853117498220755000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1474538079187175000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
194	 0,0000	 0,0000	 195531,8283	 276516,3995	 19545261,6573	 0,0000
195	 0,0000	 0,0000	 205272657452098460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 290299376153124230000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 20527265745209845000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
196	 0,0000	 0,0000	 129,4676	 173,2030	 5082,7178	 0,0000
197	 0,0000	 0,0000	 1730826751484705200000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2447758666067836400000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 173082675148470530000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
198	 0,0000	 0,0000	 12758,6879	 18030,1623	 1249420,2991	 0,0000
199	 0,0000	 0,0000	 2396439526938999000000000000000000000000000000000000000000000000000000000000,0000	 3389077280404096300000000000000000000000000000000000000000000000000000000000,0000	 239643952693792700000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
200	 0,0000	 0,0000	 642,3838	 836,2933	 59704,7322	 0,0000
201	 0,0000	 0,0000	 1233,1884	 1733,8046	 59162,9401	 0,0000
202	 0,0000	 0,0000	 320982942771350800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 453938430957671300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 32098294277135080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
203	 0,0000	 0,0000	 150,2219	 135,8881	 4553,0344	 0,0000
204	 0,0000	 0,0000	 1215,7698	 1703,1877	 103336,4196	 0,0000
205	 0,0000	 0,0000	 329685109639553000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 466245153364716700000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 32968510963955302000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
206	 0,0000	 0,0000	 1858616,3152	 2628475,5681	 185853427,2816	 0,0000
207	 0,0000	 0,0000	 834,5834	 1173,4027	 68374,4765	 0,0000
208	 0,0000	 0,0000	 3565329295160281000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5042137043541777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 356532929516028100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
209	 0,0000	 0,0000	 125970195051247270000,0000	 178148758296258050000,0000	 12597019505124727000000,0000	 0,0000
210	 0,0000	 0,0000	 71773936015217352,0000	 101503673737619104,0000	 7177393601521718300,0000	 0,0000
211	 0,0000	 0,0000	 124,5857	 165,8787	 4754,8934	 0,0000
212	 0,0000	 0,0000	 22036088125448573000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 31163734688658084000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2203608812544857000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
213	 0,0000	 0,0000	 524,7306	 652,3668	 51243,2197	 0,0000
214	 0,0000	 0,0000	 200,6517	 274,4211	 10049,7364	 0,0000
215	 0,0000	 0,0000	 552,8924	 778,2038	 23166,2355	 0,0000
216	 0,0000	 0,0000	 176,4795	 241,3406	 13980,4150	 0,0000
217	 0,0000	 0,0000	 545585,5016	 771342,1994	 54551052,7692	 0,0000
218	 0,0000	 0,0000	 70,7524	 92,9157	 4085,4537	 0,0000
219	 0,0000	 0,0000	 123,4820	 163,9778	 5082,7178	 0,0000
220	 0,0000	 0,0000	 88157757578573810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 124673896396018580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8815775757857381000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
221	 0,0000	 0,0000	 58,1793	 72,7053	 2304,9500	 0,0000
222	 0,0000	 0,0000	 5851772989992702000000000000000000000000000000000000,0000	 8275656726376237000000000000000000000000000000000000,0000	 585177298999270150000000000000000000000000000000000000,0000	 0,0000
223	 0,0000	 0,0000	 132293037354004600000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 187090607633563780000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 13229303735400460000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
224	 0,0000	 0,0000	 31,5584	 35,4902	 2347,9677	 0,0000
225	 0,0000	 0,0000	 124,0177	 165,2613	 2293,2682	 0,0000
226	 0,0000	 0,0000	 7771901926207326,0000	 10991129109475960,0000	 777190192620724220,0000	 0,0000
227	 0,0000	 0,0000	 8921330916424369000000000000000000000000000000000,0000	 12616667176425735000000000000000000000000000000000,0000	 892133091642436900000000000000000000000000000000000,0000	 0,0000
228	 0,0000	 0,0000	 1072228400692715700000000000000000000000000000000000000000000000,0000	 1516359946221251800000000000000000000000000000000000000000000000,0000	 107222840069271570000000000000000000000000000000000000000000000000,0000	 0,0000
229	 0,0000	 0,0000	 772163703678168700000000000000000000000000000000000000000000000000000000,0000	 1092004382113905900000000000000000000000000000000000000000000000000000000,0000	 77216370367816870000000000000000000000000000000000000000000000000000000000,0000	 0,0000
230	 0,0000	 0,0000	 67944252623,5740	 96087682995,3711	 6794425247807,4300	 0,0000
231	 0,0000	 0,0000	 1389679888029867400000000000000000000000000000000000000000000000000000000,0000	 1965304145008962500000000000000000000000000000000000000000000000000000000,0000	 138967988802986730000000000000000000000000000000000000000000000000000000000,0000	 0,0000
232	 0,0000	 0,0000	 4927899903508113000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6969102877558239000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 492789990350811300000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
233	 0,0000	 0,0000	 59197,9766	 83562,2312	 5901286,2921	 0,0000
234	 0,0000	 0,0000	 111,7520	 150,2993	 2293,3063	 0,0000
235	 0,0000	 0,0000	 14080544953995880000000000000000000,0000	 19912897639545020000000000000000000,0000	 1408054495399588000000000000000000000,0000	 0,0000
236	 0,0000	 0,0000	 107,5922	 145,7189	 5053,6371	 0,0000
237	 0,0000	 0,0000	 75,7385	 101,3116	 2318,8193	 0,0000
238	 0,0000	 0,0000	 86795666801923280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 122747609146496100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8679566680192328000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
239	 0,0000	 0,0000	 1292577497814684000000,0000	 1827980627827805700000,0000	 129257749781468400000000,0000	 0,0000
240	 0,0000	 0,0000	 168630449213445740000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 238479468306722380000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 16863044921344575000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
241	 0,0000	 0,0000	 62,4508	 12,0983	 4647,7430	 0,0000
242	 0,0000	 0,0000	 30,1027	 30,8335	 2334,2253	 0,0000
243	 0,0000	 0,0000	 550,3981	 762,2651	 54391,1622	 0,0000
244	 0,0000	 0,0000	 97,9507	 132,0123	 3757,7270	 0,0000
245	 0,0000	 0,0000	 14198715248370815000000000000000,0000	 20080015672519677000000000000000,0000	 1419871524837081600000000000000000,0000	 0,0000
246	 0,0000	 0,0000	 6748047639581555000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9543180491435986000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 674804763958155400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 0,0000
247	 0,0000	 0,0000	 169656398811981312,0000	 239930380143282368,0000	 16965639881198130000,0000	 0,0000
248	 0,0000	 0,0000	 881910105114047100000000000000000000000,0000	 1247209231446167300000000000000000000000,0000	 88191010511404720000000000000000000000000,0000	 0,0000
249	 0,0000	 0,0000	 2423,8991	 3425,3583	 233229,6165	 0,0000
