Gen	 Best	 B_std_dev	 Mean	 M_std_dev	 Worst	 W_std_dev	 Repeated	 R_std_dev	 Lower	 L_std_dev	 Higher	 H_std_dev
10	 0,0000	 0,0000	 1651317760508801000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9044372580828852000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 157913546625811110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 864901387286157600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 50,7667%	 15,5379%	 97,0333%	 6,0371%	 2,9667%	 6,0371%
11	 0,0000	 0,0000	 23518781647569100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 128817672334121100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2351878164756910000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12881767233412113000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 52,6000%	 17,1275%	 93,1333%	 8,6133%	 6,8667%	 8,6133%
12	 0,0000	 0,0000	 4280887457155794000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 23446268887702445000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 428088745715579360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2344626888770241000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 54,3667%	 18,3369%	 92,2333%	 8,8850%	 7,7667%	 8,8850%
13	 0,0000	 0,0000	 66702623145563610000000000000000000000000000000000000000000000000000000000000000000,0000	 365345313415913870000000000000000000000000000000000000000000000000000000000000000000,0000	 6670262314556361000000000000000000000000000000000000000000000000000000000000000000000,0000	 36534531341591386000000000000000000000000000000000000000000000000000000000000000000000,0000	 55,3333%	 19,3290%	 92,1667%	 10,2085%	 7,8333%	 10,2085%
14	 0,0000	 0,0000	 18429681017708293000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 100943518275666100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1842968101770829200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10094351827566599000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 55,5000%	 21,4938%	 88,2333%	 9,0084%	 11,7667%	 9,0084%
15	 0,0000	 0,0000	 641330419547298100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3512711374787101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 64133041954729810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 351271137478709970000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 57,1667%	 22,0221%	 91,3333%	 9,3637%	 8,6667%	 9,3637%
16	 0,0000	 0,0000	 204890655847332360000000000000000000000000000000000000000000000000000000000000000,0000	 1122232340295903300000000000000000000000000000000000000000000000000000000000000000,0000	 20489065584733236000000000000000000000000000000000000000000000000000000000000000000,0000	 112223234029590280000000000000000000000000000000000000000000000000000000000000000000,0000	 57,7667%	 21,3326%	 92,2667%	 8,7727%	 7,7333%	 8,7727%
17	 0,0000	 0,0000	 2077196483510324400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 11368123591703916000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 207719648351032450000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1136812359170391700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 59,7333%	 22,3004%	 91,2667%	 9,3031%	 8,7333%	 9,3031%
18	 0,0000	 0,0000	 238144406576736400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1304368636542759300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 23814440657673640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 130436863654275940000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 60,5000%	 22,9253%	 91,2333%	 8,9083%	 8,7667%	 8,9083%
19	 0,0000	 0,0000	 84790448578612330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 422054450774522100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8479044857861233000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 42205445077452200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 61,9000%	 21,3854%	 88,6667%	 10,3001%	 11,3333%	 10,3001%
20	 0,0000	 0,0000	 2236657596331552600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12250678189258006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 223665759633155250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1225067818925801500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 61,4667%	 17,9822%	 90,5333%	 9,8216%	 9,4667%	 9,8216%
21	 0,0000	 0,0000	 252803843386765870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1384663676469347500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 25280384338676586000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 138466367646934860000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 61,7667%	 20,5689%	 89,6333%	 9,9429%	 10,3667%	 9,9429%
22	 0,0000	 0,0000	 6816431548490795000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 37335133207982777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 681643154849079600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3733513320798278000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 62,5333%	 16,8272%	 91,6333%	 9,2270%	 8,3667%	 9,2270%
23	 0,0000	 0,0000	 277673176113333820000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1520875282779539700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 27767317611333384000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 152087528277953880000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,4333%	 18,9622%	 89,0333%	 9,2419%	 10,9667%	 9,2419%
24	 0,0000	 0,0000	 105106397236392940000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 575691447042351100000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10510639723639295000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 57569144704235110000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 64,2000%	 17,4502%	 88,7667%	 8,9546%	 11,2333%	 8,9546%
25	 0,0000	 0,0000	 669014028217850000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2541489857599186600000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 66901402821785010000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 254148985759918680000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,5667%	 18,9185%	 89,2667%	 9,3953%	 10,7333%	 9,3953%
26	 0,0000	 0,0000	 63254966881384210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 330033955923712500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6325496688138422000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 33003395592371280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 61,4333%	 20,7857%	 91,3667%	 9,2643%	 8,6333%	 9,2643%
27	 0,0000	 0,0000	 54758991303328130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 299927340821918830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5475899130332814000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 29992734082191890000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 62,3333%	 19,9626%	 91,8333%	 9,2999%	 8,1667%	 9,2999%
28	 0,0000	 0,0000	 2654263746375073000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 14537581384593750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 265426374637507330000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1453758138459374000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,3667%	 20,3698%	 87,8000%	 9,3011%	 12,2000%	 9,3011%
29	 0,0000	 0,0000	 106936490295257460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 578943947103507400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 10693649029525745000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 57894394710350760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,0667%	 20,6730%	 90,5000%	 10,3981%	 9,5000%	 10,3981%
30	 0,0000	 0,0000	 15325400006529913000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 83940672863662550000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1532540000652991100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8394067286366253000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 64,4667%	 20,4733%	 92,4000%	 9,7789%	 7,6000%	 9,7789%
31	 0,0000	 0,0000	 74029134957780770000000000000000000000000000000000000000000000000000000000,0000	 400950784735228570000000000000000000000000000000000000000000000000000000000,0000	 7402913495778078000000000000000000000000000000000000000000000000000000000000,0000	 40095078473522860000000000000000000000000000000000000000000000000000000000000,0000	 64,1667%	 21,0992%	 87,3333%	 10,5808%	 12,6667%	 10,5808%
32	 0,0000	 0,0000	 14073722779974288000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 55054384431938050000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1407372277997429000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 5505438443193805400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 64,6667%	 20,2422%	 90,1667%	 9,9276%	 9,8333%	 9,9276%
33	 0,0000	 0,0000	 31807732893706283000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 174218128063647540000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3180773289370628300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 17421812806364780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 63,8000%	 22,1132%	 88,3333%	 10,3735%	 11,6667%	 10,3735%
34	 0,0000	 0,0000	 31996919056035005000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 175254343376497800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 3199691905603500500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 17525434337649777000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 64,7000%	 20,8776%	 89,6333%	 10,0875%	 10,3667%	 10,0875%
35	 0,0000	 0,0000	 21992580551096175000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 120458324655847680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2199258055109617800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12045832465584780000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 65,5667%	 21,3197%	 87,8000%	 9,5499%	 12,2000%	 9,5499%
36	 0,0000	 0,0000	 40691162284020823000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 222874674740616360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4069116228402083000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 22287467474061650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 66,6667%	 20,2763%	 90,1667%	 9,7347%	 9,8333%	 9,7347%
37	 0,0000	 0,0000	 333951286777273300000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1829126528757888200000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 33395128677727334000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 182912652875788800000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 68,7667%	 20,5572%	 92,1333%	 9,9507%	 7,8667%	 9,9507%
38	 0,0000	 0,0000	 194757750715678380000000000000000000000000000000000000000000000000000000000,0000	 1066732133158639400000000000000000000000000000000000000000000000000000000000,0000	 19475775071567840000000000000000000000000000000000000000000000000000000000000,0000	 106673213315863930000000000000000000000000000000000000000000000000000000000000,0000	 69,5000%	 18,5114%	 88,0667%	 9,6773%	 11,9333%	 9,6773%
39	 0,0000	 0,0000	 445794006154078300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2441712247659845000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 44579400615407840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 244171224765984520000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 68,7333%	 19,1796%	 87,2667%	 9,0017%	 12,7333%	 9,0017%
40	 0,0000	 0,0000	 333951286777272440000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1829126528757888200000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 33395128677727243000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 182912652875788820000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 69,9333%	 19,4137%	 90,3333%	 9,6787%	 9,6667%	 9,6787%
41	 0,0000	 0,0000	 1761910550565027000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 9650381528508111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 176191055056502680000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 965038152850812600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 69,3333%	 20,6520%	 88,2667%	 9,3953%	 11,7333%	 9,3953%
42	 0,0000	 0,0000	 3861535936216197000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21150503388824412000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 386153593621619700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2115050338882444300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 71,1333%	 18,5412%	 90,2000%	 8,9958%	 9,8000%	 8,9958%
43	 0,0000	 0,0000	 97027029398847870000000000000000000000000000000000000000000000,0000	 411201488596377000000000000000000000000000000000000000000000000,0000	 9702702939877093000000000000000000000000000000000000000000000000,0000	 41120148859639576000000000000000000000000000000000000000000000000,0000	 70,2000%	 18,9580%	 86,9000%	 8,4948%	 13,1000%	 8,4948%
44	 0,0000	 0,0000	 3030114009594208600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 16596617948671730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 303011400959420840000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1659661794867173400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 72,0000%	 19,2784%	 87,8000%	 9,9738%	 12,2000%	 9,9738%
45	 0,0000	 0,0000	 14802268261615753000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 81075362291297250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1480226826161575200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 8107536229129734000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,4333%	 19,6902%	 88,1000%	 8,8565%	 11,9000%	 8,8565%
46	 0,0000	 0,0000	 2362216671057293000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 12938393564528402000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 236221667105729320000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1293839356452841600000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,6000%	 19,0219%	 89,7667%	 8,1608%	 10,2333%	 8,1608%
47	 0,0000	 0,0000	 41761384911050183000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 226112386918032460000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 4176138491105018400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 22611238691803245000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,7000%	 16,9281%	 90,0000%	 9,5917%	 10,0000%	 9,5917%
48	 0,0000	 0,0000	 9576231739514450000000000000000000000000000000000000000000000000000000000000000,0000	 52451181396144994000000000000000000000000000000000000000000000000000000000000000,0000	 957623173951444600000000000000000000000000000000000000000000000000000000000000000,0000	 5245118139614500000000000000000000000000000000000000000000000000000000000000000000,0000	 71,0667%	 18,5341%	 94,1000%	 8,1425%	 5,9000%	 8,1425%
49	 0,0000	 0,0000	 333951286777272440000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1829126528757888600000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 33395128677727243000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 182912652875788800000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,2333%	 18,3052%	 90,8333%	 9,9484%	 9,1667%	 9,9484%
50	 0,0000	 0,0000	 283718497511328200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 1553990210684278400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 28371849751132816000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 155399021068427830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 70,7667%	 19,0094%	 89,3667%	 9,4229%	 10,6333%	 9,4229%
51	 0,0000	 0,0000	 3940286600733996300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 21581838542573620000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 394028660073399700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 2158183854257362400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 71,2333%	 18,3052%	 87,2333%	 8,4596%	 12,7667%	 8,4596%
52	 0,0000	 0,0000	 955247893303266,1000	 4701246146209427,0000	 95524789330323088,0000	 470124614620942460,0000	 72,9333%	 17,8788%	 89,4667%	 9,1037%	 10,5333%	 9,1037%
53	 0,0000	 0,0000	 1780374694239740700000000000000000000000000000000000000000000000,0000	 9354677638260548000000000000000000000000000000000000000000000000,0000	 178037469423974090000000000000000000000000000000000000000000000000,0000	 935467763826053700000000000000000000000000000000000000000000000000,0000	 71,8333%	 18,9484%	 90,0000%	 8,9943%	 10,0000%	 8,9943%
54	 0,0000	 0,0000	 1693491161318238200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 6446825122387435000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 169349116131823800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 644682512238743300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0000	 72,1000%	 18,3178%	 89,9667%	 9,1179%	 10,0333%	 9,1179%
55	 0,0000	 0,0000	 97474083812167150000000000000000000000000000000000000000000000,0000	 486564644456711200000000000000000000000000000000000000000000000,0000	 9747408381216716000000000000000000000000000000000000000000000000,0000	 48656464445671120000000000000000000000000000000000000000000000000,0000	 72,8333%	 18,5493%	 89,5667%	 9,8320%	 10,4333%	 9,8320%
56	 0,0000	 0,0000	 673079956824732460000000000000000000000000000000000000000,0000	 3686610753483546000000000000000000000000000000000000000000,0000	 67307995682473240000000000000000000000000000000000000000000,0000	 368661075348354440000000000000000000000000000000000000000000,0000	 74,5333%	 18,6580%	 91,1333%	 8,6691%	 8,8667%	 8,6691%
